Property Id,Property Name,"NYC Borough, Block and Lot (BBL)",NYC Building Identification Number (BIN),Address 1,City,Postal Code,ENERGY STAR Score,National Median ENERGY STAR Score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),National Median Site EUI (kBtu/ft²),Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Weather Normalized Site Electricity Intensity (kWh/ft²),Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),National Median Source EUI (kBtu/ft²),Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Electricity Use - Grid Purchase (kBtu),Electricity Use - Grid Purchase (kWh),Weather Normalized Site Electricity (kWh),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kWh)
15568433,AKAM - 45 Plaza Street West,3-01064-0021,3024626,45 Plaza Street West,Brooklyn,11217,82,50,68.9,74.4,88.6,3183299.2,3439306.7,3.3,92.4,97.7,118.8,4269088.0,4513062.8,529499.3,155187.4,151028.4,155187.4
21294059,AKAM - 100 West 89th Street,1-01219-7501,1032320,100 West 89th Street,New York,10024,62,50,81.0,86.2,88.9,12805927.5,13627623.7,7.9,134.1,137.8,147.2,21196837.9,21789510.1,4428922.3,1298042.7,1252806.0,1298043.0
12371990,West Kingsbridge LLC,2-03248-0143,2015290,135-145 West Kingsbridge Road,Bronx,10468,27,50,88.5,87.5,75.8,6987675.4,6915106.7,8.4,144.7,142.2,124.1,11433834.6,11230642.2,2341014.6,686112.0,664843.4,686112.1
6292403,ZARA - 88-05 171 LLC,4-09827-0008,4210221,88-05 171 st Street,Queens,11432,48,50,72.5,74.1,72.0,4600951.1,4701436.9,4.8,104.9,106.2,104.2,6659838.2,6740880.0,1045051.2,306286.9,302189.1,306287.0
3116420,Hendrik Hudson House L.P.,2-05746-0567,2083480,2675 Henry Hudson Pkwy.,Bronx,10463,89,50,63.2,67.5,87.3,5865185.6,6265868.9,2.9,84.5,88.2,116.6,7840154.8,8179846.4,960977.1,281646.2,268076.3,281646.3
2665696,Stonehenge - 108 West 15th Street,1-00790-0028,1014525,108 West 15th Street,New York,10011,35,50,95.7,103.0,86.3,5709816.7,6143161.0,6.6,137.5,144.9,124.0,8203459.4,8641137.2,1348263.1,395153.3,395153.3,395153.3
2676015,DEPM 1832 - 123 East 74th St,1-01409-0009,1043076,123 East 74th Street,New York,10021,67,50,69.3,76.2,78.2,3579426.1,3936476.2,3.1,89.1,95.8,100.6,4600501.9,4948228.7,545975.2,160016.2,157998.8,160016.2
6690543,Stellar - 395 East 151st Street,2-02398-0027,2001666,395 East 151st Street,Bronx,10455,3,50,127.0,134.1,81.0,4617202.0,4875422.8,8.9,188.1,194.1,120.1,6840168.7,7056067.5,1138346.6,333630.3,324380.0,333630.3
4940493,ZARA - 90-36 149 Street,4-09678-0112,4206814,90-36 149 Street,Jamaica,11435,39,50,83.1,86.3,77.8,9183798.4,9542103.8,6.0,123.7,126.6,115.7,13668685.9,13994748.9,2300398.7,674208.2,665808.0,674208.3
21323618,AKAM - Campus - Park City Estates,4-02093-0001;4-02093-0245,4431959;4431961;4431962;4431966;4431965,61-15 - 61-55 98th Street,Queens,11374,87,50,60.1,66.9,81.3,58175994.3,64777668.2,4.2,89.0,95.2,120.4,86109784.6,92137035.4,14299994.6,4191088.2,4039604.9,4191089.0
